transect,id,x,y,scene,date,substrate_class,substrate_type,rao_div,caulerpa_sertularioides,rhodolith,turf,dictyota_sp,cyano,sand,cobble,sargassum,erect_alga,pocillopora_sp,porites_sp,pavona_sp,ttot
T1,1,566563.7816,2698471.276,spr_20161011,42654,mobile,fine_sand,0.007091296,0,0,0,0,2,28,0,0,0,0,0,0,30
T1,1,566563.7816,2698471.276,spr_20161214,42718,mobile,fine_sand,0.054708149,0,0,0,0,5,17,8,0,0,0,0,0,30
T1,2,567114.9084,2698705.799,spr_20161214,42718,mobile,fine_sand,0.015496053,0,0,0,0,3,27,0,0,0,0,0,0,30
T1,2,567114.9084,2698705.799,spr_20161011,42654,mobile,fine_sand,0.007521947,0,0,0,0,4,26,0,0,0,0,0,0,30
T1,3,567619.1309,2698799.607,spr_20161011,42654,mobile,fine_sand,0.012060182,0,0,0,0,2,28,0,0,0,0,0,0,30
T1,3,567619.1309,2698799.607,spr_20161214,42718,mobile,fine_sand,0.011882609,0,0,0,0,0,25,5,0,0,0,0,0,30
T1,4,568709.6585,2699233.473,spr_20161011,42654,mobile,fine_sand,0.015006595,0,0,0,0,3,24,3,0,0,0,0,0,30
T1,4,568709.6585,2699233.473,spr_20161214,42718,mobile,fine_sand,0.008205784,0,0,0,0,6,24,0,0,0,0,0,0,30
T1,5,569178.7026,2699514.9,spr_20161214,42718,mobile,rhodolith_bed,0.007724036,0,10,0,0,0,0,20,0,0,0,0,0,30
T1,5,569178.7026,2699514.9,spr_20161011,42654,mobile,rhodolith_bed,0.017605841,5,17,0,0,0,6,2,0,0,0,0,0,30
T1,6,569624.2945,2699725.969,spr_20161214,42718,mobile,fine_sand,0.00882348,0,0,0,0,0,28,2,0,0,0,0,0,30
T1,6,569624.2945,2699725.969,spr_20161011,42654,mobile,coarse_sand,0.006157222,0,0,0,0,0,6,24,0,0,0,0,0,30
T1,7,570151.9691,2699937.039,spr_20161011,42654,mobile,fine_sand,0.02265385,0,0,0,0,0,30,0,0,0,0,0,0,30
T1,7,570151.9691,2699937.039,spr_20161214,42718,mobile,rhodolith_bed,0.011198614,0,21,0,0,0,8,1,0,0,0,0,0,30
T1,8,570785.1787,2700206.74,spr_20161011,42654,mobile,fine_sand,0.047877233,0,2,0,0,3,25,0,0,0,0,0,0,30
T1,8,570785.1787,2700206.74,spr_20161214,42718,mobile,coarse_sand,0.053551666,0,6,0,0,3,18,3,0,0,0,0,0,30
T1,10,567513.5959,2698142.946,spr_20161214,42718,mobile,rhodolith_bed,0.018322807,0,21,0,0,0,9,0,0,0,0,0,0,30
T1,10,567513.5959,2698142.946,spr_20161011,42654,mobile,rhodolith_bed,0.025965888,8,22,0,0,0,0,0,0,0,0,0,0,30
T1,11,568006.0923,2698295.385,spr_20161214,42718,mobile,rhodolith_bed,0.010790795,0,24,0,0,0,0,6,0,0,0,0,0,30
T1,11,568006.0923,2698295.385,spr_20161011,42654,mobile,rhodolith_bed,0.015211242,7,20,0,0,0,0,3,0,0,0,0,0,30
T1,12,568615.8496,2698553.359,spr_20161214,42718,mobile,fine_sand,0.0059174,0,0,0,0,0,30,0,0,0,0,0,0,30
T1,12,568615.8496,2698553.359,spr_20161011,42654,mobile,fine_sand,0.005733225,0,0,0,0,0,30,0,0,0,0,0,0,30
T1,13,569049.7154,2698740.977,spr_20161011,42654,mobile,fine_sand,0.007400603,0,0,0,0,28,2,0,0,0,0,0,0,30
T1,13,569049.7154,2698740.977,spr_20161214,42718,mobile,fine_sand,0.004505305,0,0,0,0,0,30,0,0,0,0,0,0,30
T1,14,569636.0206,2698905.142,spr_20161011,42654,mobile,fine_sand,0.020644706,0,0,0,0,22,8,0,0,0,0,0,0,30
T1,14,569636.0206,2698905.142,spr_20161214,42718,mobile,fine_sand,0.009431143,0,0,0,0,0,30,0,0,0,0,0,0,30
T1,15,569987.8037,2699092.76,spr_20161011,42654,mobile,rhodolith_bed,0.036113523,2,18,0,0,0,10,0,0,0,0,0,0,30
T1,15,569987.8037,2699092.76,spr_20161214,42718,mobile,rhodolith_bed,0.008855308,0,28,0,0,0,2,0,0,0,0,0,0,30
